title,Zip Code,website,latitude,longitude,type,Activity,Adult Club,LGBT +,price,thumbnail,description
Piper's Pub,15203,http://www.piperspub.com/,40.4284687,-79.9794312,Bar / Pub,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerjTEDhD8Fcogh7bc6mLlE48aNrMB6Lf-QX_jHdXyUJv76GwqZxU9VmvyDqhTu35EmgRpedOc5oQrDCpyH57B4PuoP_j12C1hLDOCxLWfevsVkvCK0j1-Ak0kEGUeit2Vlx_AEL=s1024-v1,"English pub fare, craft beer & sports TV. Curry & chips, Scotch eggs & English breakfasts in a pub space with craft beers, Scotch & sports TV."
Ruggers Pub,15203,https://www.ruggerspub.com/,40.4301196,-79.9745856,Bar / Pub,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweodC53GCdp6n7wsU9QrflmLRs2GEN4HpMR9scB17Yt6gcGN8pyrnvSkPnXC7ucYLmCerAOI9z3Vo-Nawbq32jHvyxVU8oC0tFNLgo-KfrHebN6bdnZDrFtiCq8pP5__gSemD7FE8w=s1024-v1,"Regional beer bar with comfort food. Regional craft beers at a relaxed bar with a menu of pub fare, including vegan & vegetarian dishes."
Smokin' Joe's Saloon,15203,https://smokinjoessaloon.com/,40.4287744,-79.9774279,Bar & grill,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepkja4wDP4QlOladLH_CjRQlRBQ2gKMLVEcESmraUS8dF9aQfVSf7psu6hKpiscByz8obWacSte_-W-9Stn7Z7cHHGWj6qoAP-3pFs26NpeeFPwXkW6HhUmqxguutzbTQg5_Qi7=s1024-v1,"A deep beer selection, plus wings & ribs. Suds-centric saloon serving wings & ribs, 350 bottled beers, 60 on tap, plus growlers & flights."
The Library on Carson,15203,https://www.thelibrarypgh.com/,40.4281287,-79.9728506,Bar / Pub,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq9OahC4mxUJzDsrcS_Ze0rMZzZjBmQSl1uswa5yVikH7atBrWTZON5bNOGRH8-9-StNKIj4QAarPdG7jqH46BMvEDrivG2BFFu2jzgrJz-V-ObkP_yGpE2LyzrNuumqb0oe1wYrw=s1024-v1,"Book-themed American fare in casual digs. American fare, with dishes named after books & stories, is served at this casual restaurant & bar."
The Urban Tap - Southside,15203,http://theurbantap.com/,40.4289593,-79.9859142,Bar / Pub,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepsMrOz-egIVyPh8fIZU1cky6IhBgX612rJV-V5rOJCgkZx_TYpd4ACmqibKsElLRtSqrgD6sKRNW1XpzEuH5sC6s-5hST0celILkw4r0ktg0L1NzzpjX-dOAtGxSey-fdDZciMVg=s1024-v1,"Gastropub with New American eats. American grub with a modern twist & lots of brews on tap offered in cool, industrial surrounds."
Velum Fermentation,15203,http://velumfermentation.com/,40.4264608,-79.9757508,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer3wXrlUp0CEBFKvhdDpkKUxfzVa_x4FJ4IU882nBtH7oYnHPeBiEdLlDQQBFGhzbGxSVWCErcDwOu0RlmDxAMYcYAy9vibXZGh_5S1irvYBN2mK4_gmyyNv3Em8k0uHMDvhG-Clw=s1024-v1,
Smitty's,15204,,40.4537519,-80.0612616,Bar / Pub,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoP0hcr5U7-Z9pYTX1zVNx5k-dJMOvO-mkIr42jLWxYqR8alWjmYR8qCgqBI_Dzs-Mf8pC-tVxyR5C5IkbFsqd0mZ3ILyUOboO64bxLu9c0e2cOZ2Y5PiSfBIKGaEudbfsbX5hc8H3SEH8S=s1024-v1,
Ugly Dog Saloon,15205,https://www.facebook.com/UGLYDOGPGH/,40.4267498,-80.0555578,Bar & grill,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer08ucgMNChDv5v2djPJpugat3pAYIYzgmXjALI8gSweVp96bgKbA18Xcue2R7dSIcp7bvnOcHjEufye2x4Ger3Do8pxb-xuwAx7YfXj-CWTexqsKYv4uCpJAlMskZZTu50x71R=s1024-v1,"No-frills sports bar for wings & beer. Microbrews, wings & pub grub offered in a standard sports-bar environment with pool tables."
Commerce Bar,15206,,40.4602958,-79.925568,Bar / Pub,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweosbUlUkx4nuVa0HA6jEzK0aHoCPROBVg-nXbqXi1UxQYMXDGmPzaOBWbFu_wcOlj6vOo8Ep_YCBEvIaB1N3Id_gNK3xloo8mPyLNZ_9hn8p6S5_XKKWtmMYE4QEldXcEfPLuKW=s1024-v1,
East End Brewing Company,15206,http://www.eastendbrewing.com/,40.4592709,-79.9117796,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqQOWnQ3jja1VBmZ025ILIw5Ykub0WoutE1xqK9fUxMlJfZy5cSfra3sVqleWY3eM-Phjx9EyvJTsdDHCvpuMPpVxq8qqM61RTQtb_shiE8qUbo2hMGf3lwDpXZvWGJmsIxotn32Q=s1024-v1,"Craft brewery with pizza, beer & cider. Craft brewery with a patio & an in-house pizza kitchen, plus a variety of beer, cider & soda pop."
Goodlander Cocktail Brewery,15206,http://www.goodlandercocktails.com/,40.45744,-79.9102159,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/p/AF1QipPHmZ9tFmbiq330sVQMtEI2pKnRtSrLdSjzq2Rc=s1024-v1,
Jackworth Ginger Beer,15206,https://jackworth.co/,40.457861,-79.910142,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweolyyKjaukZVFCmgMPMH3ioIyvIYXiPanRTWh_upuwUz2V_sNMTn2FJJPWD6UYzyMEiaXMFBQb7Adx46zTyQrKU5zm_uPWhtkfz0uB2Nq01NabCnRCp_AP6a-PiE4IhgjRUdxay=s1024-v1,
Kelly's Bar & Lounge,15206,https://kellysbarlounge.com/,40.4598916,-79.9243914,Bar / Pub,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq4LmHV5ogJ3bHAeV4vHP2XgqcXmNnRdAcwFMicb6jmsYqWsTbRLya3KFXazHLCq1jLxvnrIQdoI3AzUUMAItsjwCBc45XNTAV-mPePHMjU-9C1fDNaoFBExMhzqcVDdVAYq3E=s1024-v1,"Trendy venue for cocktails & pub grub. Hearty bar bites, ales & an extensive cocktail list in a hip hub with a patio & happy-hour specials."
Park Place Pub,15206,,40.4762,-79.9209463,Bar / Pub,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoTNabouGBilV3j5xgJ8YgO7aNiSxd5pQZhcCvnjJZRHDsMN_VLufDdNFzrmyZt3Rnaqx5AXV9P7xrzEUIfQkrz0YyHYbfCK1ItPzWt9MC7WCDSw8KdfK_DMHISrU5JqX_diY7G=s1024-v1,
Shadyside Hideaway Bar,15206,https://m.facebook.com/pages/category/Pub/Shadyside-Hideaway-Bar-214440072048737/,40.4579716,-79.9255737,Bar / Pub,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerQYrf00Ih6pr4yAwx7XkbHDWAKjv_XhpP6Fwh8v5in5O3RCe-nOvq4vaKCgYs68v8vBHdOSTKajMlim26rZ8nTwCJi6xf-Gh0C_3dJYV3h9425K-dwWuTKZyjmUSPpMPm-xeZq_w=s1024-v1,
The Bulldog Pub,15206,http://thebulldogpub.com/,40.4867684,-79.9266313,Bar & grill,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoHfSDABXuwE0kkfA0KSZZERFq2dvaunhewbC4rUX0cV_5iOCFEdwD5mYhw_JCTnoiEbdxHstGLQ3fUrpMeL1F7q_fmLCEP8TTtzPIpXk9gR0EeQQ44tELWcIOTqlSwsM1-8gTE=s1024-v1,"Laid-back choice for burgers & beer. Small, unpretentious watering hole with many craft beers & a menu of burgers, sandwiches & wings."
